annotation,act,agent,criterion,type
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek8/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek7/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/carra/ekphrasis/ek9/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek11/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek1/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek1/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek1/anno_1,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_2,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek1/anno_1,https://w3id.org/interim/ek-raimondi-kb/act/ek1/anno_2,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek2/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek2/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek2/anno_0,https://w3id.org/interim/ek-raimondi-kb/act/ek2/anno_1,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek2/anno_1,https://w3id.org/interim/ek-raimondi-kb/act/ek2/anno_2,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek2/anno_1,https://w3id.org/interim/ek-raimondi-kb/act/ek2/anno_2,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek2/anno_2,https://w3id.org/interim/ek-raimondi-kb/act/ek2/anno_3,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/expert-image-alignment,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
https://w3id.org/interim/ek-raimondi-kb/degas/ekphrasis/ek2/anno_2,https://w3id.org/interim/ek-raimondi-kb/act/ek2/anno_3,file:///C:/Users/Maria%20Francesca/Desktop/trascrizioni_tk_backup/ek_tag/,https://w3id.org/interim/ek-raimondi-kb/criterion/textual-analysis,https://w3id.org/interim/ek-raimondi-kb/type/semantic-matching
