ekph,iconicReferent,identifiedResource
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek1_canvas5,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek1/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek2_canvas5,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek2/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek3_canvas6,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek3/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek4_canvas6,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek4/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek5_canvas6,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek5/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek5_canvas7,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek5/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek6_canvas7,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek6/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek6_canvas8,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek6/iconic_ref,
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek7_canvas7,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek7/iconic_ref,https://www.wikidata.org/wiki/Q3904410
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek8_canvas8,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek8/iconic_ref,https://www.wikidata.org/wiki/Q3974472
https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek9_canvas8,https://w3id.org/interim/ek-raimondi-kb/toscani/ekphrasis/ek9/iconic_ref,https://www.wikidata.org/wiki/Q3686606
