annotation,bodyValue,facsimileTargets,imageTargets
https://w3id.org/interim/ek-raimondi-kb/depisisCavafis/ekphrasis/ek2/anno_2,sembrano avviarsi per la passeggiata prima di cena,"https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p7#xywh=166,1722,824,41 | https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p7#xywh=162,1643,1406,45",
https://w3id.org/interim/ek-raimondi-kb/depisisCavafis/ekphrasis/ek2/anno_3,"Gli uomini abito a coda in cappottino,  e tuba in capo.  Le signore, in abito da pomeriggio, e i cappellini con alti nastri, alla moda di un tempo.","https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p7#xywh=154,1786,499,54 | https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p7#xywh=990,1721,560,33 | https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p7#xywh=758,1687,178,33 | https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p7#xywh=626,1750,52,33 | https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p7#xywh=653,1783,945,53 | https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p7#xywh=166,1722,824,41",
https://w3id.org/interim/ek-raimondi-kb/depisisCavafis/ekphrasis/ek2/anno_4,"la borghe- se, affabile pura vita  di un tempo. Sono figure lievi, quasi inclinate da un vento di bontà. È il ricordo, o il sogno di un'esistenza umana, che non sarà mai la nostra.","https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p7#xywh=428,1857,1142,57 | https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p7#xywh=152,1935,1432,61 | https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p7#xywh=653,1783,945,53 | https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p7#xywh=156,1862,272,62 | https://dl.ficlit.unibo.it/iiif/2/19373/canvas/p7#xywh=347,1842,61,30",
https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek1/anno_0,"sono disegni, tracciati con inchiostro, come i precedenti, e con l'impiego della soli- ta cannuccia di legno il teatro dei burattini,","https://dl.ficlit.unibo.it/iiif/2/19356/canvas/p8#xywh=208,1212,1398,51 | https://dl.ficlit.unibo.it/iiif/2/19356/canvas/p8#xywh=283,1142,1373,41",
https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek1/anno_1,l'orto dei frati,"https://dl.ficlit.unibo.it/iiif/2/19356/canvas/p8#xywh=216,1286,1394,49",
https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek1/anno_2,una figurina sulla spiaggia di mare,"https://dl.ficlit.unibo.it/iiif/2/19356/canvas/p8#xywh=216,1286,1394,49",
https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek1/anno_3,l'interno di una stanza,"https://dl.ficlit.unibo.it/iiif/2/19356/canvas/p8#xywh=216,1286,1394,49",
https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek1/anno_4,un'efebo ignudo con alcune conchiglie,"https://dl.ficlit.unibo.it/iiif/2/19356/canvas/p8#xywh=220,1362,1384,49",
https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek2/anno_0,"Per questo ""Verlaine"", egli concepì alcuni disegni tinti di colore all'acquerello","https://dl.ficlit.unibo.it/iiif/2/19356/canvas/p10#xywh=214,836,1432,42 | https://dl.ficlit.unibo.it/iiif/2/19356/canvas/p10#xywh=621,762,1003,36",
https://w3id.org/interim/ek-raimondi-kb/depisisLibri/ekphrasis/ek2/anno_1,"Figure di giovani nudi, di <???>; donne fiori, verdure, frutti, farfalle, lembi di nuvole, alberi.","https://dl.ficlit.unibo.it/iiif/2/19356/canvas/p10#xywh=208,1224,128,32 | https://dl.ficlit.unibo.it/iiif/2/19356/canvas/p10#xywh=336,1216,1282,40 | https://dl.ficlit.unibo.it/iiif/2/19356/canvas/p10#xywh=210,1192,90,32 | https://dl.ficlit.unibo.it/iiif/2/19356/canvas/p10#xywh=210,1144,1410,38",
